Section,Massa linear,Area,d,bf,tw,bf/2tf,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J
W100X19.3,0.0193,2470,106,103,7.11,5.88,4700000,103000,89500,44,1610000,47900,31100,25,62900
W150X13.5,0.0135,1730,150,100,4.32,9.16,6830000,102000,91100,63,916000,28200,18200,23,16900
W130X28.1,0.0281,3590,131,128,6.86,5.85,10900000,190000,167000,55,3800000,90600,59500,33,132000
W200X15,0.015,1910,200,100,4.32,9.61,12800000,145000,128000,82,870000,27200,17400,21,17700
W150X24,0.024,3060,160,102,6.6,4.98,13400000,192000,167000,66,1840000,55600,36100,25,92800
W150X29.8,0.0298,3790,157,153,6.6,8.25,17200000,246000,220000,68,5540000,110000,72300,38,99900
W200X22.5,0.0225,2860,206,102,6.22,6.37,20000000,223000,193000,84,1420000,43800,27900,22,57000
W250X22.3,0.0223,2850,254,102,5.84,7.41,28700000,262000,226000,100,1200000,37700,23800,21,43300
W200X31.3,0.0313,3970,210,134,6.35,6.59,31300000,334000,298000,89,4070000,93200,60800,32,117000
W250X28.4,0.0284,3630,259,102,6.35,5.09,40100000,354000,308000,105,1790000,54900,35100,22,97000
W200X41.7,0.0417,5320,205,166,7.24,7.03,40800000,446000,398000,88,9030000,166000,109000,41,224000
W310X23.8,0.0238,3040,305,101,5.59,7.53,42900000,329000,280000,119,1170000,37000,23100,20,42900
W200X52,0.052,6650,206,204,7.87,8.1,52900000,569000,511000,89,17700000,264000,174000,52,320000
W250X38.5,0.0385,4910,262,147,6.6,6.56,59900000,513000,457000,110,5870000,123000,80100,35,167000
W310X32.7,0.0327,4180,312,102,6.6,4.74,64900000,480000,416000,125,1940000,60000,37900,22,122000
W250X49.1,0.0491,6260,247,202,7.37,9.15,71200000,636000,574000,106,15200000,229000,151000,49,243000
W200X71,0.071,9100,216,206,10.2,5.92,76600000,803000,708000,92,25300000,375000,246000,53,816000
W360X32.9,0.0329,4190,348,127,5.84,7.46,82800000,544000,475000,141,2910000,71900,45900,26,86600
W310X44.5,0.0445,5670,312,166,6.6,7.41,99100000,706000,633000,132,8450000,157000,102000,39,190000
W250X67,0.067,8580,257,204,8.89,6.47,103000000,900000,805000,110,22200000,333000,218000,51,629000
W200X100,0.1,12700,229,210,14.5,4.43,113000000,1150000,990000,95,36900000,536000,351000,54,2100000
W360X44,0.044,5710,351,171,6.86,8.74,121000000,775000,688000,146,8160000,147000,95400,38,158000
W410X38.8,0.0388,4950,399,140,6.35,7.97,125000000,724000,629000,159,3990000,89800,57200,28,109000
W250X80,0.08,10200,257,254,9.4,8.15,126000000,1090000,983000,111,42900000,513000,338000,65,758000
W310X60,0.06,7550,302,203,7.49,7.77,128000000,934000,844000,130,18400000,275000,180000,49,377000
W360X57.8,0.0578,7230,358,172,7.87,6.57,160000000,1010000,895000,149,11100000,198000,129000,39,332000
W310X74,0.074,9420,310,205,9.4,6.31,163000000,1180000,1050000,132,23400000,349000,228000,50,712000
W250X101,0.101,12800,264,257,11.9,6.58,164000000,1400000,1240000,113,55800000,657000,433000,66,1480000
W410X53,0.053,6840,404,178,7.49,8.12,186000000,1050000,926000,165,10200000,177000,115000,39,227000
W310X86,0.086,11000,310,254,9.14,7.82,198000000,1420000,1280000,134,44500000,533000,351000,64,874000
W360X72,0.072,9100,351,204,8.64,6.75,201000000,1280000,1150000,149,21400000,321000,210000,49,604000
W250X131,0.131,16800,274,262,15.4,5.18,222000000,1850000,1610000,115,74500000,870000,570000,67,3130000
W410X67,0.067,8580,409,179,8.76,6.23,244000000,1350000,1190000,169,13700000,238000,153000,40,462000
W310X107,0.107,13600,312,305,10.9,8.99,248000000,1770000,1600000,135,81200000,806000,531000,77,1220000
W460X60,0.06,7610,455,153,8.0,5.73,255000000,1280000,1120000,183,7950000,164000,104000,32,337000
W360X91,0.091,11500,353,254,9.53,7.75,266000000,1670000,1510000,152,44500000,537000,352000,62,912000
W250X167,0.167,21200,290,264,19.2,4.17,298000000,2410000,2060000,118,98200000,1130000,742000,68,6290000
W310X129,0.129,16500,318,307,13.1,7.48,308000000,2160000,1930000,137,100000000,990000,651000,78,2120000
W410X85,0.085,10800,417,181,10.9,4.98,316000000,1720000,1510000,171,17900000,310000,198000,41,924000
W360X110,0.11,14100,361,257,11.4,6.41,331000000,2060000,1840000,153,55800000,664000,436000,63,1610000
W460X74,0.074,9480,457,191,9.02,6.57,333000000,1660000,1460000,187,16700000,272000,175000,42,516000
W310X158,0.158,20100,328,310,15.5,6.17,388000000,2690000,2380000,139,125000000,1230000,808000,79,3800000
W460X89,0.089,11400,462,192,10.5,5.44,410000000,2020000,1770000,190,20900000,338000,218000,43,903000
W360X134,0.134,17100,356,368,11.2,10.2,416000000,2570000,2340000,156,151000000,1240000,818000,94,1690000
W410X114,0.114,14600,419,262,11.6,6.77,462000000,2460000,2200000,178,57400000,674000,441000,63,1490000
W460X106,0.106,13500,470,194,12.6,4.71,487000000,2390000,2080000,191,25100000,405000,259000,43,1450000
W310X202,0.202,25700,340,315,20.1,4.96,516000000,3510000,3050000,142,166000000,1610000,1050000,80,7700000
W360X162,0.162,20600,363,371,13.3,8.49,516000000,3150000,2830000,158,186000000,1520000,1000000,95,2960000
W410X149,0.149,19000,432,264,14.9,5.29,620000000,3240000,2870000,180,77400000,900000,585000,64,3220000
W360X196,0.196,25000,373,373,16.4,7.15,637000000,3830000,3420000,160,228000000,1850000,1220000,96,5120000
W460X128,0.128,16300,467,282,12.2,7.2,637000000,3050000,2720000,197,72800000,793000,518000,67,1710000
W310X253,0.253,32300,356,320,24.4,4.03,687000000,4510000,3850000,146,215000000,2060000,1350000,82,14800000
W360X237,0.237,30100,381,396,18.9,6.54,791000000,4700000,4160000,162,311000000,2390000,1580000,102,8200000
W460X158,0.158,20100,475,284,15.0,5.96,795000000,3770000,3340000,199,91600000,991000,646000,68,3110000
W310X313,0.313,39900,373,325,30.0,3.37,891000000,5700000,4790000,150,276000000,2610000,1700000,83,26900000
W360X287,0.287,36600,394,399,22.6,5.45,999000000,5820000,5080000,165,388000000,2950000,1950000,103,14500000
W460X193,0.193,24700,490,284,17.0,4.65,1020000000,4750000,4200000,204,116000000,1260000,818000,69,6040000
W310X375,0.375,47800,391,330,35.6,2.89,1130000000,7010000,5780000,154,345000000,3210000,2080000,85,45000000
W360X347,0.347,44200,406,404,27.2,4.62,1250000000,7140000,6150000,168,479000000,3620000,2380000,104,24800000
W460X235,0.235,29900,500,287,20.6,3.92,1270000000,5830000,5080000,206,144000000,1550000,1010000,70,10500000
W310X454,0.454,57700,414,335,41.4,2.45,1480000000,8800000,7130000,160,437000000,4000000,2610000,87,77000000
W360X421,0.421,53700,424,409,32.8,3.89,1600000000,8880000,7520000,172,599000000,4490000,2930000,106,43300000
W460X286,0.286,36300,518,292,24.4,3.27,1610000000,7240000,6230000,210,183000000,1950000,1260000,71,18600000
W360X509,0.509,65200,445,417,39.1,3.31,2040000000,11000000,9140000,177,753000000,5540000,3620000,108,74100000
W460X349,0.349,44300,536,297,29.5,2.76,2040000000,9000000,7640000,214,232000000,2440000,1570000,72,32800000
W360X592,0.592,75500,465,422,45.0,2.92,2500000000,13100000,10700000,182,903000000,6590000,4290000,109,114000000
W460X421,0.421,53700,556,302,35.6,2.38,2570000000,11100000,9260000,219,293000000,3030000,1930000,74,55800000
W360X677,0.677,86500,483,427,51.3,2.62,2990000000,15300000,12400000,186,1070000000,7670000,4980000,111,164000000
W360X818,0.818,105000,513,437,60.5,2.25,3930000000,19300000,15300000,194,1350000000,9550000,6190000,114,278000000
W360X990,0.99,126000,549,450,71.9,1.95,5160000000,24300000,18800000,203,1740000000,12000000,7730000,117,466000000
W360X1202,1.2,154000,579,472,95.0,1.82,6620000000,30000000,22800000,208,2310000000,15200000,9780000,123,766000000
